"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type"
80805,"ref","journal article","Pleistocene fossil leaflets of Albizia kalkora (Roxb.) Prain (Leguminosae subfamily Mimosoideae) from central Honshu, Japan, and its implications for historical biogeography",2017,"A.","Ito","A.","Momohara","Z. K. Zhou","",NA,"Japanese Journal of Historical Botany",NA,NA,NA,NA,NA,NA,"26","1","3","13","English","10.34596/hisbot.26.1_3","auth,class"
60462,"ref","journal article","A middle Miocene (12.2 my old) forest in the East African Rift Valley, Keny",1987,"B. F.","Jacobs","C. H. S.","Kabuye","","",NA,"Journal of Human Evolution",NA,NA,NA,NA,NA,NA,"16","","147","155","English","","auth,class"
80782,"ref","journal article","Systematic descriptions, in The first fossil Microsoroid fern (Palaeosorum ellipticum gen. et sp. nov.) from the middle Miocene of Yunnan, SW China",2013,"F. M. B.","Jacques","Z. K.","Zhou","","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"51","6","758","764","English","10.1111/jse.12030","auth,class"
71498,"ref","journal article","A Middle Triassic flora from the Cacheuta Formation, Minas de Petroleo, Argentina",1967,"R. K.","Jain","T.","Delevoryas","","",NA,"Palaeontology",NA,NA,NA,NA,NA,NA,"10","4","564","589","English","","auth,class"
43937,"ref","journal article","Palynologuie et stratigraphie du Crétacé des Bassin du Sénégal et Cote d'Ivoire",1965,"S.","Jardiné","H.","Magloire","","",NA,"Mémoires du Bureau de Recherches Géologiques et Miniéres",NA,NA,NA,NA,NA,NA,"32","","187","245","English","","class"
71202,"ref","serial monograph","Palynology of Dinosaur Provincial Park (Campanian) Alberta",1982,"D. M.","Jarzen","","","","",NA,"Syllogeus",NA,NA,NA,NA,NA,NA,"38","","1","69","English","","auth,class"
3614,"ref","journal article","Middle Eocene terrestrial palynomorphs from the Dolime minerals and Gulf Hammock Quarries, Florida, U.S.A.",2006,"D. M.","Jarzen","D. L.","Dilcher","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"30","1","89","110","English","10.2113/gspalynol.30.1.89","auth"
74170,"ref","book chapter","Carbonate buildup in the Lakadong Formation of the South Shillong Plateau, NE India: A micropaleontological perspective ",1994,"A. K.","Jauhri","","","","R. Matteucci",NA,"Studies on ecology and paleoecology of benthic communities",NA,NA,NA,NA,NA,NA,"2","","157","169","English","","class"
4133,"ref","journal article","Fossil plants from the Fountain Formation (Pennsylvanian) of Colorado",1980,"J. R.","Jennings","","","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"54","1","149","158","English","","auth,class"
80783,"ref","journal article","Systematic descriptions, in First occurrence of Cedrelospermum (Ulmaceae) in Asia and its biogeographic implications",2015,"L. B.","Jia","Y. J.","Huang","Z. K. Zhou","",NA,"Journal of Plant Research",NA,NA,NA,NA,NA,NA,"128","","747","761","English","10.1007/s10265-015-0739-2","auth,class"
80653,"ref","journal article","Two Eocene fossil fruits from the Changchang Basin of Hainan Island, China",2009,"J. H.","Jin","","","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"153","01-Feb","150","152","English","10.1016/j.revpalbo.2008.07.010","auth,class"
48044,"ref","journal article","Fossil and recent calcareous algae from Guam",1964,"H.","Johnson","","","","",NA,"Geological survey professional paper 403-G",NA,NA,NA,NA,NA,NA,"","","","","English","","auth"
44193,"ref","journal article","Paleocene Calcareous Red Algae from Northern Iraq",1964,"J. H.","Johnson","","","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"10","2","207","216","English","","auth,class"
47540,"ref","journal article","Eocene Coralline Algae from the Meganos Formation, California",1953,"J. H.","Johnson","W. A.","Stewart","","",NA,"",NA,NA,NA,NA,NA,NA,"27","1","130","136","English","","class"
8573,"ref","journal article","Investigations of angiosperms from the Eocene of North America: Rhamnus marginatus (Rhamnaceae) reexamined",1980,"J. H.","Jones","D. L.","Dilcher","","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"67","6","959","967","","","auth"
54441,"ref","journal article","The Macrofossil Record of Proteaceae in Tasmania: a Review with New Species",1998,"G. J.","Jordan","R. J.","Carpenter","R. S. Hill","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"11","4","465","501","English","10.1071/SB97020","auth,class"
34827,"ref","unpublished","Unpublished taxonomic opinions",2011,"N. A.","Jud","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","","","English","","auth,class"
76069,"ref","book","Genera plantarum :secundum ordines naturales disposita, juxta methodum in Horto regio parisiensi exaratam",1789,"A. L. d.","Jussieu","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","","","other","https://doi.org/10.5962/bhl.title.284","auth,class"
83410,"ref","journal article","Evidence for sympodial vascular architecture in a filicalean fern rhizome: Dickwhitea allenbyensis gen. et sp. nov. (Athyriaceae)",2006,"S.J.","Karafit","G.W.","Rothwell","R. A. Stockey, H. Nishida","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"167","3","721","727","English","10.1086/501036","auth,class"
83717,"ref","journal article","New genus Navipelta (Peltaspermales, Pteridospermae) from Permian-Triassic boundary of Moscow sineclise, Russia",2009,"E. V.","Karasev","","","","",NA,"Paleontological Journal",NA,NA,NA,NA,NA,NA,"43","10","1262","1271","English","10.1134/S0031030109100086","auth,class"
215,"ref","","Upper Cretaceous macrofossils from the Duwi Formation of the Nile Valley, southern Egypt",1996,"A. S.","Kassab","A. S.","Mohamed","","",NA,"Neues Jahrbuch fuer Geologie und Palaeontologie-Abhandlungen",NA,NA,NA,NA,NA,NA,"200","3","259","284","","","auth,class"
86144,"ref","journal article","High stress late Maastrichtian - early Danian palaeoenvironment in the Neuquén Basin, Argentina",2007,"G.","Keller","T.","Adatte","A. A. Tantawy, Z. Berner, W. Stinnesbeck, D. Stueben, H. A. Leanza","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"28","6","939","960","English","https://doi.org/10.1016/j.cretres.2007.01.006","auth,class"
56617,"ref","journal article","Aptian and Albian miospores from southern England",1970,"E. M.","Kemp","","","","",NA,"Palaeontographica Abl. B",NA,NA,NA,NA,NA,NA,"131","01-Apr","73","143","English","","auth,class"
