"reference_no","aff_country","samp_country"
59173,"India",NA
43748,"Argentina","Argentina"
43756,"Argentina","Argentina"
55894,"Brazil",NA
14593,"Slovenia","Slovenia"
26197,"Italy","Italy"
26197,"Italy","Hungary"
26197,"Hungary","Italy"
26197,"Hungary","Hungary"
9152,"Germany","Spain"
6420,"USA","United States"
78197,"UK",NA
11602,"Argentina","Argentina"
13635,"China","China"
83118,"USA","United States"
41878,"Japan","Thailand"
83865,"India","India"
83577,"India","India"
31651,"USA","United States"
82996,"India","India"
84749,"India","India"
43563,"Argentina",NA
322,"USA","Mexico"
26260,"Germany","Germany"
3977,"Germany","Germany"
78726,"Japan",NA
6458,"Australia","Australia"
55877,"USA",NA
55877,"Switzerland",NA
55877,"Germany",NA
42175,"Russia",NA
6789,"UK",NA
29190,"Sweden",NA
29190,"USA",NA
32453,"Japan","Japan"
55224,"Australia","New Zealand"
45340,"India","India"
32270,"Switzerland","Canada"
87598,"Australia","Australia"
8995,"Canada","Canada"
9317,"Spain",NA
9317,"UK",NA
9317,"USA",NA
45083,"Sweden","Russia"
45083,"Russia","Russia"
85150,"France",NA
47986,"USA","Australia"
47986,"Spain","Australia"
55559,"Qatar",NA
78598,"India","India"
41887,"Japan","Thailand"
48164,"Argentina","Argentina"
57671,"Brazil",NA
47703,"USA",NA
69092,"Slovenia","Slovenia"
55216,"Australia","Australia"
54802,"Australia","Australia"
57056,"Germany",NA
47732,"Romania","Romania"
9719,"Italy","Italy"
74170,"India","India"
6444,"USA","United States"
75360,"Canada",NA
7477,"Germany","Italy"
71506,"Israel","Kyrgyzstan"
15344,"France","France"
6474,"Australia","Australia"
32597,"Slovenia","Slovenia"
12583,"Germany","Indonesia"
12583,"Germany","Switzerland"
12583,"Germany","Oman"
12583,"Germany","Italy"
12583,"Germany","Philippines"
12583,"Germany","Germany"
44552,"Argentina","Argentina"
48168,"Argentina","Argentina"
30600,"Hungary","United States"
30600,"Austria","United States"
30600,"USA","United States"
66877,"Germany",NA
65649,"Russia",NA
65649,"USA",NA
78641,"China","China"
78641,"Austria","China"
45894,"USA",NA
46420,"Argentina","Argentina"
46464,"Argentina","Argentina"
46494,"Argentina","Argentina"
18176,"Germany","Germany"
55130,"Australia","Australia"
14024,"UK",NA
13966,"UK",NA
19727,"Spain","Spain"
55128,"Argentina","Argentina"
9168,"USA","United States"
2582,"USA","United States"
80669,"Germany",NA
45281,"Argentina","Argentina"
48169,"Argentina","Argentina"
46576,"Argentina","Argentina"
43840,"Argentina","Argentina"
24760,"Italy",NA
13796,"Taiwan","Philippines"
13960,"UK",NA
8989,"USA","Canada"
64756,"Japan",NA
7778,"China","China"
7778,"USA","China"
18999,"Romania",NA
24764,"Russia","Cyprus"
42261,"Turkey","Turkey"
800,"Germany",NA
57681,"Hungary",NA
33301,"India","India"
13571,"Italy","Italy"
13571,"Switzerland","Italy"
43447,"UK",NA
78497,"India","Nepal"
6557,"USA","United States"
46161,"Argentina","Argentina"
46203,"Argentina","Argentina"
43854,"Argentina","Argentina"
46609,"Argentina","Argentina"
